Indicator,Health Indicator Group,geo,year
Medical Officer Bed ratio at SCANU (Recommended 0.3),04Newborn,District,2016
Nurse Bed ratio at SCANU (Recommended 0.8),04Newborn,District,2016
Percentage of newborn who received postnatal care within two days of birth at facility,04Newborn,District,2016
Percentage of newborns delivered by SBA at community that received CHX (7.1%) to the cord after birth,04Newborn,District,2016
Percentage of newborns delivered by SBA at facility that received CHX (7.1%) to the cord after birth,04Newborn,District,2016
Percentage of newborns initiated breastfeeding within one hour after birth,04Newborn,District,2016
% of maternal death reported individually with causes of death,01MaternalHealth,District,2016
Institutional C-section rate,01MaternalHealth,District,2016
Institutional Normal Delivery Rate (Only EmOC Facilities),01MaternalHealth,District,2016
Maternal Case fatality rate (EmOC),01MaternalHealth,District,2016
Percentage of cases with puerperal sepsis among admitted patient in EmONC,01MaternalHealth,District,2016
Percentage of postpartum hemorrhage among admitted patient in EmONC,01MaternalHealth,District,2016
Proportion of cases with postpartum hemorrhage among admitted patient in EmONC,01MaternalHealth,District,2016
Proportion of cases with puerperal sepsis among admitted patient in EmONC,01MaternalHealth,District,2016
Total Complicated Mother,01MaternalHealth,District,2016
Total No. of pregnant mothers with obstetric complication,01MaternalHealth,District,2016
Total birth in EmONC facilities,01MaternalHealth,District,2016
Total deliveries in EmONC facilities,01MaternalHealth,District,2016
Total still birth at EmOC facility,01MaternalHealth,District,2016
Differences between Pentavalent doses and vial uses,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Penta vial Opening + Receive,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazila EPI AEFI Form need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazila EPI AEFI Investigation form need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazila EPI AEFI form E36 - E39 need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazila EPI AEFI line listing form need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazila EPI BCG diluent need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazila EPI BCG need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazila EPI CC supply book need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazila EPI Child Card need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazila EPI Child Report Book need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazila EPI Child register need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazila EPI FW product distribution register need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazila EPI IPV need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazila EPI MR diluent need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazila EPI MR need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazila EPI MR vial total supplied,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazila EPI Moni flag need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazila EPI OPV dropper need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazila EPI OPV need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazila EPI PCV need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazila EPI Pentavalent need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazila EPI Safety Box need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazila EPI Supervision Form need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazila EPI Syringe (0.05 ml) need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazila EPI Syringe (0.1 ml) need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazila EPI Syringe (0.5 ml) need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazila EPI Syringe (5 ml) need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazila EPI Syringe(2/3ml) need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazila EPI TT Card need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazila EPI TT need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazila EPI Tally Book(Women) need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazila EPI Tally Book(child) need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazila EPI Women Report Book need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazila EPI Women register need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazila EPI batch card need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazila EPI daily vaccine distribution register need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazila EPI stock register for logistic need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazila EPI stock register for vaccine/diluent need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazila EPI supply book need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazila EPI temperature chart need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazila EPI zip lock bag need with buffer,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazilla EPI AEFI Form stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazilla EPI AEFI Investigation form stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazilla EPI AEFI form E36 - E39 stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazilla EPI AEFI line listing form stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazilla EPI BCG diluent stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazilla EPI BCG stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazilla EPI CC supply book stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazilla EPI Child Card stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazilla EPI Child Report Book stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazilla EPI Child register stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazilla EPI FW product distribution register stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazilla EPI IPV stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazilla EPI MR diluent stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazilla EPI MR stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazilla EPI Moni flag stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazilla EPI OPV dropper stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazilla EPI OPV stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazilla EPI PCV stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazilla EPI Safety Box stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazilla EPI Supervision Form stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazilla EPI Syringe (0.05 ml) stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazilla EPI Syringe (0.1 ml) stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazilla EPI Syringe (0.5 ml) stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazilla EPI Syringe (5 ml) stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazilla EPI Syringe(2/3ml) stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazilla EPI TT Card stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazilla EPI TT stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazilla EPI Tally Book(Women) stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazilla EPI Tally Book(child) stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazilla EPI Women Report Book stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazilla EPI Women register stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazilla EPI batch card stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazilla EPI daily vaccine distribution register stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazilla EPI pentavalent stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazilla EPI stock register for logistic stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazilla EPI stock register for vaccine/diluent stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazilla EPI supply book stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazilla EPI temperature chart stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
Upazilla EPI zip lock bag stock requested,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
upazilla_epi_AEFI Form closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
upazilla_epi_AEFI Investigation form closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
upazilla_epi_AEFI form E36 - E39 closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
upazilla_epi_AEFI line listing form closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
upazilla_epi_BCG Diluent closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
upazilla_epi_BCG closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
upazilla_epi_Child Card closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
upazilla_epi_Child Report Book closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
upazilla_epi_Child register closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
upazilla_epi_IPV closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
upazilla_epi_MR Diluent closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
upazilla_epi_MR closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
upazilla_epi_Moni Flag closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
upazilla_epi_OPV closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
upazilla_epi_OPV dropper closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
upazilla_epi_PCV closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
upazilla_epi_Pentavalent closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
upazilla_epi_Safety Box closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
upazilla_epi_Supervision Form closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
upazilla_epi_Syringe (0.05 ml) closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
upazilla_epi_Syringe (0.1 ml) closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
upazilla_epi_Syringe (0.5 ml) closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
upazilla_epi_Syringe (3 ml) closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
upazilla_epi_Syringe (5 ml) closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
upazilla_epi_TT Card closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
upazilla_epi_TT closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
upazilla_epi_Tally Book (Women) closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
upazilla_epi_Tally Book (child) closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
upazilla_epi_Women Report Book closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
upazilla_epi_Women register closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
upazilla_epi_batch card closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
upazilla_epi_cc EPI supply book closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
upazilla_epi_daily vaccine distribution closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
upazilla_epi_fw product distribution closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
upazilla_epi_stock register for logistic closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
upazilla_epi_stock register for vaccine/diluent closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
upazilla_epi_supply book closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
upazilla_epi_temperature chart closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
upazilla_epi_zip lock bag closing balance,07Vaccine&LogisticsstockofUpazilaMunCC,District,2016
District EPI AEFI Form need with buffer,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI AEFI Investigation need with buffer,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI AEFI line listing form need with buffer,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI BCG diluent need with buffer,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI BCG diluent stock requested,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI BCG need with buffer,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI BCG stock requested,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI CC supply book need with buffer,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI Child Card need with buffer,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI Child Report Book need with buffer,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI Child register need with buffer,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI FW product distribution register need with buffer,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI IPV need with buffer,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI IPV stock requested,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI MR diluent need with buffer,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI MR diluent stock requested,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI MR need with buffer,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI MR stock requested,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI Moni Flag requested,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI Moni flag need with buffer,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI OPV dropper need with buffer,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI OPV dropper stock requested,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI OPV need with buffer,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI OPV stock requested,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI PCV need with buffer,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI PCV stock requested,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI Pentavalent need with buffer,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI Safety Box need with buffer,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI Safety box requested,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI Supervision Form need with buffer,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI Syringe (0.05 ml) need with buffer,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI Syringe (0.05 ml) stock requested,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI Syringe (0.1 ml) need with buffer,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI Syringe (0.1 ml) stock requested,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI Syringe (0.5 ml) need with buffer,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI Syringe (0.5 ml) stock requested,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI Syringe (5 ml) need with buffer,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI Syringe (5 ml) stock requested,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI Syringe(2/3ml) need with buffer,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI Syringe(2/3ml) stock requested,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI TT Card need with buffer,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI TT need with buffer,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI TT stock requested,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI Tally Book(Women) need with buffer,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI Tally Book(child) need with buffer,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI Women Report Book need with buffer,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI Women register need with buffer,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI batch card need with buffer,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI batch card requested,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI daily vaccine distribution register need with buffer,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI pentavalent stock requested,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI stock register for logistic need with buffer,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI stock register for vaccine/diluent need with buffer,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI supply book need with buffer,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI temperature chart need with buffer,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI total BCG Diluent supplied on 1st delivery,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI total BCG Diluent supplied on 2nd delivery,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI total BCG Diluent supplied on 3rd delivery,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI total BCG supplied on 1st delivery,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI total BCG supplied on 2nd delivery,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI total BCG supplied on 3rd delivery,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI total IPV supplied on 1st delivery,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI total IPV supplied on 2nd delivery,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI total IPV supplied on 3rd delivery,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI total MR Diluent supplied on 1st delivery,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI total MR Diluent supplied on 2nd delivery,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI total MR Diluent supplied on 3rd delivery,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI total MR supplied on 1st delivery,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI total MR supplied on 2nd delivery,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI total MR supplied on 3rd delivery,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI total OPV supplied on 1st delivery,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI total OPV supplied on 2nd delivery,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI total OPV supplied on 3rd delivery,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI total PCV supplied on 1st delivery,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI total PCV supplied on 2nd delivery,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI total PCV supplied on 3rd delivery,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI total Pentavalent supplied on 1st delivery,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI total Pentavalent supplied on 2nd delivery,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI total Pentavalent supplied on 3rd delivery,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI total TT supplied on 1st delivery,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI total TT supplied on 2nd delivery,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI total TT supplied on 3rd delivery,06Vaccine&LogisticsstockofDistrict,District,2016
District EPI zip lock bag need with buffer,06Vaccine&LogisticsstockofDistrict,District,2016
District FW product distribution register requested,06Vaccine&LogisticsstockofDistrict,District,2016
District Supervision Form requested,06Vaccine&LogisticsstockofDistrict,District,2016
District TT Card requested,06Vaccine&LogisticsstockofDistrict,District,2016
District Tally Book(Women) requested,06Vaccine&LogisticsstockofDistrict,District,2016
District Tally Book(child) requested,06Vaccine&LogisticsstockofDistrict,District,2016
District Women Report Book requested,06Vaccine&LogisticsstockofDistrict,District,2016
District Women register requested,06Vaccine&LogisticsstockofDistrict,District,2016
District daily vaccine distribution register requested,06Vaccine&LogisticsstockofDistrict,District,2016
District stock register for logistic requested,06Vaccine&LogisticsstockofDistrict,District,2016
District stock register for vaccine/diluent requested,06Vaccine&LogisticsstockofDistrict,District,2016
District supply book requested,06Vaccine&LogisticsstockofDistrict,District,2016
District temperature chart requested,06Vaccine&LogisticsstockofDistrict,District,2016
Safety box total supplied,06Vaccine&LogisticsstockofDistrict,District,2016
Syringe (0.05 ml) total supplied,06Vaccine&LogisticsstockofDistrict,District,2016
Syringe (0.1 ml) total supplied,06Vaccine&LogisticsstockofDistrict,District,2016
Syringe (0.5 ml) total supplied,06Vaccine&LogisticsstockofDistrict,District,2016
Syringe (3 ml) total supplied,06Vaccine&LogisticsstockofDistrict,District,2016
Syringe (5 ml) total supplied,06Vaccine&LogisticsstockofDistrict,District,2016
dist_epi_AEFI Form closing balance,06Vaccine&LogisticsstockofDistrict,District,2016
dist_epi_AEFI Investigation form closing balance,06Vaccine&LogisticsstockofDistrict,District,2016
dist_epi_AEFI form E36 - E39 closing balance,06Vaccine&LogisticsstockofDistrict,District,2016
dist_epi_AEFI line listing form closing balance,06Vaccine&LogisticsstockofDistrict,District,2016
dist_epi_BCG Diluent closing balance,06Vaccine&LogisticsstockofDistrict,District,2016
dist_epi_BCG closing balance,06Vaccine&LogisticsstockofDistrict,District,2016
dist_epi_Child Card closing balance,06Vaccine&LogisticsstockofDistrict,District,2016
dist_epi_Child Report Book closing balance,06Vaccine&LogisticsstockofDistrict,District,2016
dist_epi_Child register closing balance,06Vaccine&LogisticsstockofDistrict,District,2016
dist_epi_Fridge Tag Temperature chart closing balance,06Vaccine&LogisticsstockofDistrict,District,2016
dist_epi_IPV closing balance,06Vaccine&LogisticsstockofDistrict,District,2016
dist_epi_MR Diluent closing balance,06Vaccine&LogisticsstockofDistrict,District,2016
dist_epi_MR closing balance,06Vaccine&LogisticsstockofDistrict,District,2016
dist_epi_Moni Flag closing balance,06Vaccine&LogisticsstockofDistrict,District,2016
dist_epi_OPV closing balance,06Vaccine&LogisticsstockofDistrict,District,2016
dist_epi_OPV dropper closing balance,06Vaccine&LogisticsstockofDistrict,District,2016
dist_epi_PCV closing balance,06Vaccine&LogisticsstockofDistrict,District,2016
dist_epi_Pentavalent closing balance,06Vaccine&LogisticsstockofDistrict,District,2016
dist_epi_Safety Box closing balance,06Vaccine&LogisticsstockofDistrict,District,2016
dist_epi_Supervision Form closing balance,06Vaccine&LogisticsstockofDistrict,District,2016
dist_epi_Syringe (0.05 ml) closing balance,06Vaccine&LogisticsstockofDistrict,District,2016
dist_epi_Syringe (0.1 ml) closing balance,06Vaccine&LogisticsstockofDistrict,District,2016
dist_epi_Syringe (0.5 ml) closing balance,06Vaccine&LogisticsstockofDistrict,District,2016
dist_epi_Syringe (3 ml) closing balance,06Vaccine&LogisticsstockofDistrict,District,2016
dist_epi_Syringe (5 ml) closing balance,06Vaccine&LogisticsstockofDistrict,District,2016
dist_epi_TT Card closing balance,06Vaccine&LogisticsstockofDistrict,District,2016
dist_epi_TT closing balance,06Vaccine&LogisticsstockofDistrict,District,2016
dist_epi_Tally Book (Women) closing balance,06Vaccine&LogisticsstockofDistrict,District,2016
dist_epi_Tally Book (child) closing balance,06Vaccine&LogisticsstockofDistrict,District,2016
dist_epi_Vaccine holder closing balance,06Vaccine&LogisticsstockofDistrict,District,2016
dist_epi_Women Report Book closing balance,06Vaccine&LogisticsstockofDistrict,District,2016
dist_epi_Women register closing balance,06Vaccine&LogisticsstockofDistrict,District,2016
dist_epi_batch card closing balance,06Vaccine&LogisticsstockofDistrict,District,2016
dist_epi_cc EPI supply book closing balance,06Vaccine&LogisticsstockofDistrict,District,2016
dist_epi_daily vaccine distribution closing balance,06Vaccine&LogisticsstockofDistrict,District,2016
dist_epi_fw product distribution closing balance,06Vaccine&LogisticsstockofDistrict,District,2016
dist_epi_stock register for logistic closing balance,06Vaccine&LogisticsstockofDistrict,District,2016
dist_epi_stock register for vaccine/diluent closing balance,06Vaccine&LogisticsstockofDistrict,District,2016
dist_epi_supply book closing balance,06Vaccine&LogisticsstockofDistrict,District,2016
dist_epi_temperature chart closing balance,06Vaccine&LogisticsstockofDistrict,District,2016
dist_epi_zip lock bag closing balance,06Vaccine&LogisticsstockofDistrict,District,2016
Percentage of functional ambulance,05Logistics,District,2016
Percentage of functional x-ray,05Logistics,District,2016
BCG Crude Coverage %,03Immunization,District,2016
BCG left out Rate,03Immunization,District,2016
BCG to MR 1 Drop out Rate,03Immunization,District,2016
BCG to Penta 3 drop out Rate,03Immunization,District,2016
BCG vial wastage rate,03Immunization,District,2016
EPI Session drop out rate,03Immunization,District,2016
IPV vial wastage rate,03Immunization,District,2016
MR 1 Crude Coverage %,03Immunization,District,2016
MR 1 to MR 2 drop out Rate,03Immunization,District,2016
MR 2 Crude Coverage %,03Immunization,District,2016
MR vial wastage rate,03Immunization,District,2016
OPV 0 Crude Coverage %,03Immunization,District,2016
OPV 1 Crude Coverage %,03Immunization,District,2016
OPV 2 Crude Coverage %,03Immunization,District,2016
OPV 3 Crude Coverage %,03Immunization,District,2016
OPV vial wastage rate,03Immunization,District,2016
PCV 1 Crude Coverage %,03Immunization,District,2016
PCV 2 Crude Coverage %,03Immunization,District,2016
PCV 3 Crude Coverage %,03Immunization,District,2016
PCV vial wastage rate,03Immunization,District,2016
Penta 1 Crude Coverage %,03Immunization,District,2016
Penta 1 to MR 1 drop out Rate,03Immunization,District,2016
Penta 1 to MR 2 drop out Rate,03Immunization,District,2016
Penta 1 to Penta 3 drop out Rate,03Immunization,District,2016
Penta 2 Crude Coverage %,03Immunization,District,2016
Penta 3 Crude Coverage %,03Immunization,District,2016
Pentavalent vial use and doses ratio,03Immunization,District,2016
Pentavalent vial wastage rate,03Immunization,District,2016
TT vial wastage rate,03Immunization,District,2016
Total MR Given,03Immunization,District,2016
Total OPV Given,03Immunization,District,2016
Total PCV Given,03Immunization,District,2016
Total Pentavalent Given,03Immunization,District,2016
Total TT Given to 15 - 49 Y,03Immunization,District,2016
Total TT Given to Pregnant Women,03Immunization,District,2016
Total fIPV Given,03Immunization,District,2016
fIPV1 Crude Coverage %,03Immunization,District,2016
fIPV2 Crude Coverage %,03Immunization,District,2016
% of breast feeding initiated within 1 hour by CSBA,02ChildHealth,District,2016
% of neonatal death reported individually,02ChildHealth,District,2016
IMCI Stunting (%),02ChildHealth,District,2016
IMCI Total Child,02ChildHealth,District,2016
IMCI Underweight (%),02ChildHealth,District,2016
IMCI Wasting (%),02ChildHealth,District,2016
Neonatal Case fatality rate (EmOC),02ChildHealth,District,2016
Percentage of diarrhea reported at facility,02ChildHealth,District,2016
Percentage of pneumonia reported at facility,02ChildHealth,District,2016
1st Visit ANC,AntenatalCare(ANC),District,2016
2nd Visit ANC,AntenatalCare(ANC),District,2016
3rd & more ANC,AntenatalCare(ANC),District,2016
,True,District,2017
% of Nurse training on ETAT at SCANU,04Newborn,District,2017
% of female baby admitted in SCANU reported individually,04Newborn,District,2017
% of female baby admitted in SCANU reported monthly,04Newborn,District,2017
% of functional Radiant warmer,04Newborn,District,2017
% of male baby admitted in SCANU reported individually,04Newborn,District,2017
